               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.028724,            0.019589,           0.0083627,             0.87339,             0.74092,             0.81829,             0.57381,            0.029613,            0.010625,            0.017434,            0.005479,            0.005479,            0.005479
                 139,            0.029096,            0.019995,           0.0085632,             0.78666,             0.78371,             0.81953,             0.57542,            0.030049,            0.010546,            0.016366,            0.005446,            0.005446,            0.005446
                 140,              0.0287,            0.020118,           0.0083672,             0.78554,             0.78993,             0.81611,             0.57394,            0.029684,            0.010761,            0.016247,            0.005413,            0.005413,            0.005413
                 141,            0.029258,            0.019515,           0.0089471,             0.77356,               0.784,             0.81195,             0.57828,             0.02958,            0.010638,            0.017747,             0.00538,             0.00538,             0.00538
                 142,            0.029012,            0.020211,           0.0087712,             0.82088,             0.77524,             0.82347,             0.58018,            0.029422,            0.010739,            0.017092,            0.005347,            0.005347,            0.005347
                 143,            0.028339,             0.02017,           0.0080594,             0.86025,             0.72057,             0.81119,             0.57357,            0.029982,            0.010764,            0.016284,            0.005314,            0.005314,            0.005314
                 144,            0.028616,            0.019312,           0.0078677,             0.80132,             0.77108,             0.80746,             0.56903,            0.030417,            0.011053,            0.015196,            0.005281,            0.005281,            0.005281
                 145,            0.028751,            0.020319,           0.0081219,                0.78,             0.78203,             0.80038,             0.56645,            0.029852,            0.011043,            0.015202,            0.005248,            0.005248,            0.005248
                 146,            0.028562,            0.019705,           0.0086739,             0.74821,             0.79806,             0.80694,              0.5646,            0.029762,            0.010819,            0.016003,            0.005215,            0.005215,            0.005215
                 147,            0.028307,            0.020023,           0.0082822,             0.80927,             0.74678,             0.80592,             0.56062,            0.029755,            0.011016,            0.015649,            0.005182,            0.005182,            0.005182
                 148,            0.028064,            0.019776,           0.0076123,             0.83462,             0.74191,             0.81289,             0.56808,            0.029414,            0.010997,            0.016279,            0.005149,            0.005149,            0.005149
                 149,            0.027798,            0.019631,           0.0075934,             0.85098,             0.73498,             0.81435,              0.5742,            0.028876,            0.010895,            0.017062,            0.005116,            0.005116,            0.005116
                 150,            0.027887,            0.019199,           0.0077272,               0.818,             0.73952,             0.81316,             0.57149,            0.029586,            0.011081,            0.016881,            0.005083,            0.005083,            0.005083
                 151,            0.028179,            0.019463,           0.0078906,             0.84967,             0.72121,             0.82283,              0.5755,            0.030044,            0.010875,            0.016393,             0.00505,             0.00505,             0.00505
                 152,            0.028715,            0.019541,           0.0080191,             0.80929,             0.74751,             0.81607,             0.57924,            0.029458,            0.010813,            0.016041,            0.005017,            0.005017,            0.005017
                 153,            0.028223,            0.019491,           0.0076665,             0.80242,             0.76549,             0.82076,             0.57399,            0.029207,            0.010749,            0.016592,            0.004984,            0.004984,            0.004984
                 154,            0.027329,            0.019406,           0.0076979,             0.83968,              0.7424,             0.80951,             0.56361,            0.029794,            0.010866,            0.017254,            0.004951,            0.004951,            0.004951
                 155,            0.027804,            0.019184,           0.0073125,             0.81647,             0.74787,             0.80768,             0.56456,            0.029798,            0.010842,            0.017123,            0.004918,            0.004918,            0.004918
