               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.030186,            0.020609,           0.0094537,             0.71135,             0.74973,             0.76478,             0.52295,            0.031327,            0.011039,            0.015435,           0.0082675,           0.0082675,           0.0082675
                 107,             0.03052,             0.02065,           0.0090918,             0.78708,             0.71606,             0.77592,             0.51861,            0.031797,            0.010754,            0.015129,            0.008251,            0.008251,            0.008251
                 108,            0.029428,            0.020425,           0.0085496,             0.77752,             0.73856,             0.77381,             0.52195,            0.031289,            0.010905,            0.015484,           0.0082345,           0.0082345,           0.0082345
                 109,            0.029357,            0.019828,           0.0083196,             0.79164,             0.71323,             0.76357,             0.51458,            0.031149,            0.010733,            0.016641,            0.008218,            0.008218,            0.008218
                 110,            0.029066,            0.019607,           0.0089513,             0.78873,             0.70918,             0.77346,             0.52958,            0.031083,            0.010504,             0.01522,           0.0082015,           0.0082015,           0.0082015
                 111,             0.02926,            0.019925,           0.0085523,               0.802,             0.72309,             0.79598,             0.54289,            0.030152,            0.010618,            0.015603,            0.008185,            0.008185,            0.008185
                 112,            0.028957,            0.020153,           0.0078309,             0.77527,             0.69482,             0.76788,             0.51761,            0.031208,             0.01091,            0.017245,           0.0081685,           0.0081685,           0.0081685
                 113,            0.029042,            0.020205,            0.008134,              0.7893,             0.71538,             0.77308,             0.52673,            0.030978,            0.011031,            0.015606,            0.008152,            0.008152,            0.008152
                 114,            0.029291,            0.020005,            0.008914,              0.8087,             0.74653,             0.79953,             0.53353,             0.03063,            0.010721,            0.014717,           0.0081355,           0.0081355,           0.0081355
                 115,            0.029288,             0.01984,           0.0083098,              0.7606,             0.72964,             0.76011,             0.52383,            0.030787,            0.010999,            0.015738,            0.008119,            0.008119,            0.008119
                 116,            0.028924,            0.020056,           0.0090273,             0.80506,             0.68765,             0.74624,             0.50935,            0.030858,            0.010921,            0.017064,           0.0081025,           0.0081025,           0.0081025
                 117,            0.028562,            0.019313,           0.0087147,             0.78541,             0.72564,             0.77986,             0.53461,            0.031407,            0.010765,            0.017985,            0.008086,            0.008086,            0.008086
                 118,            0.028441,            0.019727,           0.0089404,             0.73199,             0.76785,             0.77287,             0.51251,            0.031789,            0.010854,            0.016573,           0.0080695,           0.0080695,           0.0080695
                 119,            0.029094,            0.019838,           0.0092376,              0.7567,             0.72565,             0.76936,             0.52241,            0.031872,            0.011071,            0.016266,            0.008053,            0.008053,            0.008053
                 120,            0.028727,            0.019905,           0.0082585,              0.7762,             0.72623,             0.78079,             0.54701,            0.030874,            0.010829,            0.016372,           0.0080365,           0.0080365,           0.0080365
                 121,            0.028749,            0.019963,           0.0084276,             0.74882,             0.75013,              0.7704,             0.52855,            0.030975,            0.010996,            0.015148,             0.00802,             0.00802,             0.00802
                 122,            0.028731,            0.019499,           0.0080972,             0.81005,             0.72673,             0.78829,             0.54038,            0.030778,            0.010657,            0.014927,           0.0080035,           0.0080035,           0.0080035
                 123,            0.028989,            0.019298,           0.0082693,             0.83211,             0.72457,             0.79536,             0.55104,             0.03064,            0.010692,            0.014819,            0.007987,            0.007987,            0.007987
                 124,            0.029098,            0.019189,           0.0084403,             0.77548,             0.75649,             0.79646,             0.54065,            0.031055,            0.010775,            0.015052,           0.0079705,           0.0079705,           0.0079705
                 125,            0.028718,            0.019534,           0.0089371,             0.80489,              0.7486,             0.79439,             0.54632,            0.030712,            0.010841,            0.015218,            0.007954,            0.007954,            0.007954
